id,instagram,time,filter,important,influencer,comparison,appearance,change,nevercompare,others,edit,sign,picture,pic2,pic1,mark,compareless,relax,nodifference,editme,obligatory,age,sex,education
1,1,4,2,2,2,99,99,99,99,99,1,2,1,3,3,1,1,1,1,0,0,20,1,4
2,1,1,1,1,1,99,99,99,99,99,1,1,2,1,4,1,1,0,0,0,0,18,2,9
3,1,4,2,4,2,1,0,1,0,0,0,2,2,3,3,2,0,1,0,0,0,20,1,4
4,1,3,1,2,3,0,1,0,0,1,1,2,1,4,2,4,0,0,1,1,0,20,1,4
5,1,2,2,4,3,1,0,0,0,0,1,0,2,4,4,4,0,0,1,0,0,20,2,4
6,1,4,2,4,2,1,1,0,0,0,1,0,1,3,1,3,0,0,0,0,1,18,1,4
7,1,1,1,3,2,0,1,0,1,0,1,2,1,4,2,2,0,1,0,1,1,21,1,4
8,1,3,1,3,4,0,0,0,1,0,0,1,1,3,1,1,0,1,0,0,1,24,1,5
9,1,4,1,3,4,1,1,0,0,0,1,2,2,4,2,4,0,0,1,0,0,20,1,4
10,1,3,2,4,2,0,1,0,0,0,2,1,1,4,3,5,0,0,1,0,0,21,1,4
11,1,2,1,3,2,0,1,0,0,0,2,1,1,4,2,1,1,0,0,0,0,21,1,4
12,1,2,1,3,4,1,1,1,0,1,1,2,1,5,5,4,0,0,1,0,0,20,1,3
13,1,3,1,2,4,1,0,1,0,0,1,2,1,3,3,2,0,1,0,0,0,21,1,4
14,1,2,1,2,4,1,0,0,0,0,1,2,1,4,3,4,0,0,1,0,0,26,1,6
15,1,2,1,2,2,0,0,0,1,0,1,2,1,4,4,2,0,0,1,0,0,22,1,4
16,1,2,1,3,3,1,0,1,0,0,1,1,2,1,5,4,0,0,1,0,0,16,1,0
17,1,2,1,3,4,0,1,0,0,0,1,0,1,4,2,4,0,0,1,0,0,20,1,4
18,1,3,2,4,1,0,0,0,1,0,0,0,2,4,4,3,0,0,0,0,1,20,2,4
19,1,2,1,3,3,1,1,1,0,0,1,2,1,4,2,3,1,0,0,0,1,19,1,4
20,1,1,1,3,3,1,1,0,0,0,1,2,1,3,2,2,1,1,0,0,0,20,1,4
21,1,2,1,3,2,1,1,0,0,0,1,2,2,4,2,1,1,0,0,0,0,21,2,4
22,1,4,1,2,2,1,1,0,0,0,1,0,2,3,3,1,0,1,0,0,0,20,2,4
23,1,3,1,3,1,0,0,0,1,0,2,0,1,5,1,1,1,1,0,0,1,21,1,4
24,1,2,1,3,3,0,0,0,1,1,1,2,1,4,2,1,0,0,1,0,0,21,1,4
25,1,2,2,3,4,1,1,0,0,0,1,0,1,4,2,3,0,1,0,0,1,20,1,4
26,1,4,2,4,4,1,1,0,0,0,1,0,1,5,1,4,0,0,1,0,1,19,1,4
27,1,3,1,3,1,0,0,0,1,0,0,2,2,4,4,3,0,0,1,0,0,22,2,5
28,1,4,1,3,3,1,0,0,0,0,1,0,1,4,2,2,0,1,0,0,0,24,1,5
29,1,4,2,4,3,1,0,0,0,0,1,0,1,4,1,3,0,0,1,0,0,20,1,4
30,1,4,2,4,4,0,1,0,0,0,1,2,2,3,1,2,0,1,0,0,0,21,1,4
31,1,4,1,3,3,1,1,0,0,0,1,2,1,3,3,2,1,0,0,0,0,19,1,4
32,1,3,1,3,4,1,0,0,0,0,0,0,1,4,3,2,1,0,0,0,0,14,2,0
33,1,2,1,3,2,1,1,0,0,0,0,2,1,5,2,3,0,0,1,0,0,20,1,4
34,1,3,1,4,2,0,1,0,0,0,1,2,2,4,1,4,0,0,0,0,1,23,1,6
35,1,3,1,3,3,0,1,0,0,0,1,1,1,4,2,4,0,0,1,0,1,21,1,2
36,1,2,2,1,2,0,0,0,1,0,1,2,1,4,3,5,0,0,1,0,0,20,2,3
37,1,1,2,3,1,0,0,0,1,0,0,0,1,4,4,1,0,0,0,0,1,53,1,5
38,1,3,2,4,4,1,1,0,0,0,1,2,2,3,1,2,0,0,1,0,0,21,1,4
39,1,3,2,4,4,1,1,1,0,0,0,2,2,1,4,2,0,1,1,0,0,21,2,4
40,1,2,2,4,4,0,1,0,1,1,1,0,2,4,4,1,0,0,1,0,0,15,1,0
41,1,2,2,3,3,1,0,1,0,0,1,0,2,3,1,5,0,1,0,0,1,20,1,4
42,1,2,1,3,3,1,1,0,0,0,1,0,2,4,3,1,1,0,0,0,0,17,1,4
43,1,4,2,3,4,0,0,0,1,0,1,2,2,3,3,2,0,0,1,0,0,19,2,5
44,1,2,1,3,2,0,0,0,1,0,1,2,1,4,2,1,0,1,0,0,1,21,1,4
45,1,2,2,4,4,0,0,1,0,0,1,2,1,4,3,3,1,0,0,0,1,26,1,6
46,1,2,2,3,4,1,0,0,0,0,1,2,2,4,2,1,0,0,1,0,0,21,1,4
47,1,3,1,3,4,0,1,1,0,0,1,0,2,5,1,5,0,0,1,0,0,20,1,2
48,1,2,2,4,2,1,0,0,0,0,2,1,1,4,3,3,1,0,0,0,0,21,1,4
49,1,3,2,4,4,0,0,0,1,0,0,0,2,3,2,4,0,0,1,0,0,22,2,3
50,1,3,2,3,3,0,0,0,1,0,1,2,1,4,3,2,0,0,0,0,1,20,1,4
51,1,2,1,3,1,0,0,0,1,0,0,0,1,3,4,1,0,0,0,0,1,21,1,4
52,1,1,1,3,3,1,1,0,0,0,1,0,2,4,1,2,0,0,1,0,1,19,1,4
53,1,1,2,4,4,1,1,1,0,0,0,2,1,4,3,2,1,1,0,0,0,18,1,3
54,1,1,2,4,3,0,0,0,1,0,0,2,1,4,1,3,0,0,1,0,0,18,1,2
55,1,3,1,3,4,1,0,1,0,0,1,2,2,3,5,4,0,0,1,1,0,20,1,4
56,1,1,2,4,1,0,0,0,1,0,2,2,1,4,3,2,0,0,0,0,1,50,2,7
57,1,3,1,3,2,0,0,0,1,0,1,0,1,4,4,5,0,0,1,0,0,19,2,2
58,1,3,2,4,4,1,1,1,0,0,0,0,1,3,3,4,1,1,0,0,1,20,1,4
59,1,3,1,4,3,0,0,0,1,1,1,2,2,4,4,3,1,0,0,0,1,20,1,4
60,1,2,1,3,2,1,1,0,0,0,0,0,1,2,3,1,1,1,0,0,1,21,2,4
61,1,4,1,1,2,1,1,0,0,0,0,2,2,4,4,4,0,0,1,0,0,20,1,4
62,1,3,1,3,4,0,0,0,1,0,1,2,2,4,2,2,0,1,0,0,0,21,1,4
63,1,2,2,4,3,1,0,0,1,0,0,0,1,4,4,1,1,0,0,0,1,51,2,3
64,1,2,1,2,4,1,0,0,0,0,1,2,1,4,4,4,0,0,1,0,0,21,1,1
65,1,3,2,4,4,1,1,0,0,0,1,2,1,4,2,2,1,0,0,0,0,37,1,6
66,1,2,2,4,4,1,0,0,1,0,1,0,2,5,3,3,0,0,1,0,0,19,2,1
67,1,2,2,4,1,0,0,0,1,0,0,0,2,5,2,2,0,0,1,0,0,44,2,7
68,1,3,2,3,4,0,1,0,0,0,0,0,1,3,2,2,0,1,0,0,1,17,1,2
69,1,2,1,3,2,1,0,0,0,0,1,2,1,4,4,2,0,1,0,0,1,20,3,4
70,1,2,2,3,3,0,0,0,1,0,1,0,1,4,2,4,1,0,0,0,0,20,1,4
71,1,2,2,4,4,0,1,0,1,0,1,0,1,4,3,1,1,1,0,0,0,17,1,2
72,1,1,1,3,4,0,0,0,1,0,1,1,1,4,4,1,0,0,1,0,0,25,2,5
73,1,1,1,3,4,0,1,0,0,0,1,2,2,3,2,2,0,0,0,0,1,18,1,2
74,1,1,1,3,1,0,0,0,1,0,1,0,1,4,4,3,0,0,0,0,1,21,2,4
75,1,3,1,3,2,0,0,0,1,0,1,0,1,4,2,3,0,0,1,0,0,20,1,4
76,1,1,2,4,4,0,1,1,0,0,1,2,1,4,2,2,1,0,0,0,0,17,1,2
77,1,2,1,3,3,0,0,0,1,0,1,0,2,4,3,2,0,1,0,0,1,25,1,5
78,1,2,1,2,2,0,0,0,1,0,1,2,1,3,2,2,0,1,0,0,1,22,1,4
79,1,1,2,4,1,0,0,1,0,0,0,2,1,4,3,2,0,1,0,0,0,17,1,3
80,1,2,2,4,4,0,1,0,0,0,1,2,2,4,1,3,1,0,0,0,1,22,1,4
81,1,1,1,3,2,1,1,0,0,0,1,0,1,4,1,2,1,1,0,0,0,21,1,4
82,1,1,2,4,3,0,0,0,1,0,2,1,2,3,1,1,0,1,0,0,0,21,1,4
83,1,3,1,4,3,0,1,0,0,0,1,2,1,4,4,1,1,1,0,0,1,20,1,3
84,1,4,1,3,3,1,1,1,0,0,1,2,1,4,3,1,1,1,0,0,1,21,1,4
85,1,2,2,4,2,0,1,0,1,0,1,1,1,4,3,2,1,1,0,0,0,23,2,5
86,1,3,2,3,4,1,1,0,0,0,1,0,2,2,1,1,0,0,1,0,0,21,2,6
87,1,1,1,3,2,0,0,0,1,0,1,0,1,4,4,1,0,0,0,0,1,21,1,4
88,1,1,2,4,1,1,0,0,0,0,1,2,1,4,4,1,1,1,0,0,0,28,2,8
89,1,1,2,3,2,0,0,0,1,0,1,2,2,3,3,3,0,0,0,0,1,32,1,2
90,1,2,1,2,4,1,1,1,0,0,1,2,2,5,5,3,0,0,0,0,1,19,1,5
91,1,2,2,4,2,0,0,0,1,0,0,0,1,4,3,3,1,0,0,0,1,20,1,5
92,1,3,1,3,4,0,0,0,1,0,1,0,2,4,3,2,0,0,1,0,0,27,2,6
93,1,2,2,4,4,0,0,1,0,0,1,2,2,4,2,2,0,0,0,0,1,21,1,4
94,1,3,1,1,4,0,1,0,0,0,1,0,1,3,5,5,0,0,1,0,0,22,1,3
95,1,3,2,4,3,0,0,0,1,0,1,2,1,3,1,1,1,0,0,0,0,21,1,4
96,1,2,1,3,3,0,0,0,1,0,2,1,1,4,4,1,0,0,0,0,1,19,1,4
97,1,3,1,3,2,1,0,0,0,0,1,0,1,4,2,4,1,0,0,0,1,21,2,4
98,1,3,2,4,1,1,1,1,0,0,1,2,1,1,5,1,1,1,0,0,0,17,1,0
99,1,1,2,3,2,0,0,0,1,0,1,1,1,4,4,2,1,1,0,0,0,25,1,8
100,1,2,2,4,2,1,0,0,0,0,1,2,1,4,2,1,1,1,0,0,1,22,2,4
101,1,2,2,3,3,0,0,0,1,0,1,0,1,3,3,3,1,0,0,0,0,31,1,4
102,1,3,1,2,3,1,1,1,0,0,1,2,2,4,1,3,0,1,0,0,0,21,1,4
103,1,3,1,2,3,1,0,0,0,0,1,1,1,3,3,2,1,0,0,0,0,23,1,4
104,1,3,1,2,3,0,0,0,1,0,1,2,1,3,2,4,1,0,0,0,0,21,1,3
105,1,4,2,4,3,1,1,0,0,0,1,2,1,3,1,2,1,1,0,0,0,22,1,6
106,1,4,1,3,2,0,0,0,1,0,1,2,1,4,4,2,0,0,1,0,0,23,2,3
107,1,2,2,4,4,1,0,1,0,0,0,2,1,2,5,1,0,1,0,0,1,19,1,4
108,1,3,1,3,4,0,1,0,0,0,1,0,1,4,2,2,1,0,0,0,1,22,1,4
109,1,3,1,2,4,1,0,0,0,0,1,2,2,4,5,4,0,0,1,0,0,24,1,6
110,1,3,2,3,3,0,0,0,1,0,1,1,1,3,4,2,0,0,0,0,1,24,2,8
111,1,3,1,2,4,1,1,1,0,0,0,2,2,4,1,3,1,0,0,0,0,24,1,2
112,1,2,1,3,3,1,1,0,0,0,1,1,1,4,1,3,0,0,1,0,0,26,1,4
113,1,3,1,2,3,1,1,1,0,0,1,2,2,5,5,2,0,1,0,0,0,24,1,5
114,1,4,1,2,4,1,1,0,0,0,1,2,1,4,3,2,0,1,0,0,0,18,1,2
115,1,3,1,3,3,0,1,0,0,0,0,2,2,3,3,2,0,1,1,0,0,16,1,3
116,1,3,1,3,2,0,0,0,1,0,0,0,1,3,2,2,0,1,0,0,0,22,1,10
117,1,2,2,3,3,1,0,0,0,0,1,2,1,3,2,3,0,1,0,0,0,22,1,4
118,1,4,1,2,2,1,1,1,0,1,1,2,1,4,2,4,0,0,1,0,0,23,1,4
119,1,2,2,4,4,1,0,0,0,0,1,2,2,4,2,3,0,0,0,0,1,24,1,6
120,1,3,2,4,2,0,1,0,0,0,1,2,1,4,1,3,0,1,0,0,0,22,1,4
121,1,3,2,4,2,0,0,0,1,0,0,0,1,4,4,5,0,0,1,0,0,26,2,3
122,1,3,1,2,3,1,1,0,0,0,1,1,1,4,2,2,0,1,0,0,0,21,1,4
123,1,1,1,2,4,1,1,1,0,0,1,0,1,4,2,1,0,1,0,0,0,22,1,4
124,1,2,1,3,2,0,0,0,1,0,1,1,1,4,4,3,0,0,1,0,0,21,1,4
125,1,2,1,3,4,1,1,0,0,0,1,2,2,5,2,1,0,1,0,0,0,24,1,6
126,1,2,1,3,2,1,1,1,0,0,1,2,1,4,2,2,1,1,0,0,1,20,1,4
127,1,4,1,3,4,0,1,0,0,0,1,2,2,4,4,2,0,0,1,0,0,22,1,4
128,1,3,1,2,4,1,0,0,0,0,1,1,1,4,1,2,0,1,0,0,0,26,1,6
129,1,2,2,3,3,1,1,0,0,0,1,2,1,3,2,4,1,0,1,0,0,25,1,5
130,2,1,2,4,1,0,0,0,1,0,1,2,2,4,1,3,0,0,1,0,0,26,1,6
131,1,2,1,2,3,1,0,1,0,0,1,2,2,4,4,2,1,1,0,0,0,24,2,5
132,1,3,1,3,4,1,1,1,0,0,1,2,2,4,4,4,0,0,1,0,0,25,1,4
133,1,3,2,4,4,0,0,0,1,0,1,2,1,3,3,2,0,1,0,0,0,24,1,4
134,1,2,2,4,3,0,0,0,1,0,1,2,1,4,4,1,0,0,0,0,1,23,2,4
135,1,2,1,2,3,0,0,0,1,0,1,2,2,3,3,4,0,1,0,0,0,24,2,6
136,1,2,2,3,4,0,0,1,0,0,1,2,2,5,1,3,0,0,1,0,0,20,2,4
137,1,1,2,4,2,1,0,0,0,0,2,2,1,4,4,1,0,1,0,0,0,21,1,4
